occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Lawyer,Legal secretary,39.5,96.4,100.00,31.03,23.19,65.52,50.32
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,77.27,100.00,0.00,88.64,88.64
Chemical technician,Miscellaneous health technician,35.0,72.7,100.00,71.43,0.00,85.71,85.71
Property assessor,Social and community service manager,34.2,71.7,67.50,80.00,15.00,73.75,62.69
Mechanical engineer,Biological scientist,10.1,55.0,100.00,86.49,1.30,93.24,92.03
Web developer,Customer service representative,19.4,65.3,87.50,82.14,0.00,84.82,84.82
Web and digital interface designer,Customer service representative,42.7,65.3,97.50,78.57,0.00,88.04,88.04
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,97.50,87.50,0.00,92.50,92.50
Personal financial advisor,Loan officer,32.6,51.6,100.00,61.54,-12.66,80.77,70.55
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,100.00,81.82,-2.13,90.91,88.97
Software quality tester,Customer service representative,44.1,65.3,55.00,92.86,1.47,73.93,72.84
Postsecondary teacher,Insurance underwriter,46.6,56.9,87.50,90.00,-5.00,88.75,84.31
Web and digital interface designer,Social and community service manager,42.7,71.7,100.00,57.50,0.00,78.75,78.75
Software developer,Insurance underwriter,20.2,56.9,97.50,82.50,-3.75,90.00,86.62
Property assessor,Insurance sales agent,34.2,54.9,35.00,90.91,-1.61,62.95,61.94
Software quality tester,Graphic designer,44.1,54.7,55.00,94.59,3.90,74.80,71.88
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,40.00,26.32,7.69,33.16,30.61
Chemical technician,Ophthalmic medical technician,35.0,73.7,100.00,63.64,-5.13,81.82,77.62
Lawyer,Insurance underwriter,39.5,56.9,100.00,52.50,-8.75,76.25,69.58
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,100.00,56.52,-3.17,78.26,75.78
Database administrator,Executive secretary,30.8,90.0,52.50,100.00,14.06,76.25,65.53
Lawyer,Loan officer,39.5,51.6,97.50,30.77,-6.33,64.13,60.08
Postsecondary teacher,Mental health counselor,46.6,74.6,92.50,75.00,-11.25,83.75,74.33
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,72.22,86.96,-5.08,79.59,75.54
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,83.33,97.50,5.26,90.42,85.66
Occupational health and safety specialist,Order clerk,17.9,58.3,87.50,90.62,5.56,89.06,84.11
