occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Database administrator,Receptionist,30.8,89.1,92.50,85.71,8.82,89.11,81.24
Personal financial advisor,Mental health counselor,32.6,74.6,100.00,5.00,-1.25,52.50,51.84
Cost estimator,Executive secretary,17.7,90.0,37.50,100.00,18.75,68.75,55.86
Cost estimator,Insurance sales agent,17.7,54.9,95.00,95.45,1.61,95.23,93.69
Cost estimator,Tax preparer,17.7,66.3,32.50,100.00,5.19,66.25,62.81
Cost estimator,Real estate broker,17.7,57.0,70.00,100.00,-2.50,85.00,82.88
Occupational health and safety specialist,Insurance claims and policy processing clerk,17.9,80.1,100.00,100.00,2.56,100.00,97.44
First-line supervisor of retail sales workers,Insurance sales agent,44.6,54.9,66.67,100.00,-6.90,83.33,77.59
Personal financial advisor,Real estate broker,32.6,57.0,82.50,70.00,-5.00,76.25,72.44
Lawyer,Public relations specialist,39.5,76.2,90.00,60.00,22.50,75.00,58.13
Materials engineer,Medical appliance technician,13.5,58.9,97.50,90.00,2.50,93.75,91.41
Database administrator,Legal secretary,30.8,96.4,72.50,100.00,27.54,86.25,62.50
Cost estimator,Loan officer,17.7,51.6,75.00,100.00,-1.27,87.50,86.39
Chemical technician,Pharmacy technician,35.0,79.3,100.00,100.00,-2.44,100.00,97.56
Chemical technician,Medical appliance technician,35.0,58.9,100.00,95.00,0.00,97.50,97.50
Web developer,Receptionist,19.4,89.1,80.00,96.43,14.71,88.21,75.24
Chief executive,Compliance officer,30.6,51.8,95.00,95.00,8.75,95.00,86.69
Counter and rental clerk,File Clerk,38.7,76.0,93.75,100.00,2.44,96.88,94.51
Director,Editor,43.6,56.6,45.00,95.00,11.25,70.00,62.12
Software quality tester,Loan interviewer,44.1,76.9,65.00,100.00,-1.54,82.50,81.23
Occupational health and safety specialist,Medical and health services manager,17.9,71.8,100.00,97.50,0.00,98.75,98.75
Counter and rental clerk,Postal service clerk,38.7,54.1,100.00,100.00,2.86,100.00,97.14
Food service manager,Social and human service assistant,46.7,75.3,100.00,72.50,11.25,86.25,76.55
Actor,Artist,47.0,51.6,40.00,100.00,1.25,70.00,69.12
Computer systems manager,Executive secretary,27.7,90.0,65.00,100.00,31.25,82.50,56.72
First-line supervisor of production and operating workers,Order clerk,23.5,58.3,88.89,100.00,8.47,94.44,86.44
First-line supervisor of security workers,Compliance officer,22.5,51.8,90.00,90.00,12.50,90.00,78.75
Food service manager,Medical and health services manager,46.7,71.8,100.00,97.50,0.00,98.75,98.75
Personal financial advisor,Tax preparer,32.6,66.3,95.00,54.05,12.99,74.53,64.85
Computer systems manager,Loan officer,27.7,51.6,97.50,89.74,7.59,93.62,86.51
Personal financial advisor,Fundraiser,32.6,74.9,100.00,7.50,1.25,53.75,53.08
Database administrator,Loan officer,30.8,51.6,80.00,94.87,0.00,87.44,87.44
First-line supervisor of production and operating workers,Filling machine operator,23.5,57.3,85.19,100.00,2.99,92.59,89.83
Software quality tester,Public relations specialist,44.1,76.2,72.50,97.50,12.50,85.00,74.38
Chemical technician,Medical assistant,35.0,88.8,100.00,95.24,2.04,97.62,95.63
Database administrator,Customer service representative,30.8,65.3,77.50,96.43,11.76,86.96,76.73
Electrical and electronic engineering technician,Insurance claims and policy processing clerk,11.6,80.1,100.00,100.00,5.13,100.00,94.87
Occupational health and safety specialist,Social and human service assistant,17.9,75.3,100.00,97.50,6.25,98.75,92.58
Database administrator,Advertising sales agent,30.8,52.7,95.00,73.08,-1.52,84.04,82.77
Mechanical engineer,Filling machine operator,10.1,57.3,97.50,82.50,6.25,90.00,84.37
Cutting worker,Filling machine operator,31.1,57.3,75.00,100.00,3.75,87.50,84.22
Counter and rental clerk,Customer service representative,38.7,65.3,12.50,100.00,6.82,56.25,52.41
Counter and rental clerk,Cashier,38.7,69.8,18.75,100.00,1.92,59.38,58.23
Emergency medical technician,Veterinary technician,39.4,89.9,100.00,100.00,3.33,100.00,96.67
Computer programmer,Graphic designer,21.5,54.7,82.50,81.08,9.09,81.79,74.36
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of office and administrative support workers,44.1,65.8,54.55,100.00,6.12,77.27,72.54
Computer systems manager,Legal secretary,27.7,96.4,62.50,96.55,21.74,79.53,62.24
Computer support specialist,Receptionist,26.2,89.1,97.50,67.86,13.24,82.68,71.74
Boiler operator,Filling machine operator,7.1,57.3,91.18,100.00,4.05,95.59,91.71
Counter and rental clerk,Receptionist,38.7,89.1,75.00,100.00,9.09,87.50,79.55
Web developer,Loan interviewer,19.4,76.9,80.00,96.00,15.38,88.00,74.46
Dentist,Dental assistant,39.5,92.8,55.26,84.62,35.29,69.94,45.25
Lawyer,Real estate broker,39.5,57.0,90.00,92.50,-13.75,91.25,78.70
Logistician,Loan officer,38.7,51.6,27.50,100.00,1.27,63.75,62.94
Lawyer,Mental health counselor,39.5,74.6,100.00,35.00,1.25,67.50,66.66
Database administrator,Insurance claims and policy processing clerk,30.8,80.1,95.00,50.00,15.38,72.50,61.35
Occupational health and safety specialist,Payroll and timekeeping clerk,17.9,88.2,100.00,95.65,1.59,97.83,96.27
Mechanical engineer,Medical appliance technician,10.1,58.9,85.00,77.50,2.50,81.25,79.22
Surgeon,Surgical technologist,20.0,76.9,32.26,100.00,32.43,66.13,44.68
Electrical and electronics engineer,Medical scientist,11.6,51.8,96.97,100.00,1.41,98.48,97.10
Electrical and electronic engineering technician,Medical and health services manager,11.6,71.8,100.00,100.00,0.00,100.00,100.00
Surgeon,Biological scientist,20.0,55.0,93.55,100.00,2.94,96.77,93.93
Director,Artist,43.6,51.6,32.50,100.00,-1.25,66.25,65.42
Occupational health and safety specialist,Customer service representative,17.9,65.3,100.00,100.00,0.00,100.00,100.00
Computer support specialist,Public safety telecommunicator,26.2,78.2,70.00,97.37,17.95,83.68,68.66
Electrical and electronic engineering technician,Payroll and timekeeping clerk,11.6,88.2,100.00,95.65,4.76,97.83,93.17
Logistician,Paralegal,38.7,83.0,22.50,100.00,8.75,61.25,55.89
Postal service mail carrier,Postal service clerk,34.7,54.1,91.67,94.74,11.63,93.20,82.36
Printing press operator,Sewing machine operator,24.7,70.7,100.00,100.00,-1.25,100.00,98.75
