occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Cost estimator,Loan officer,17.7,51.6,62.50,94.87,2.53,78.69,76.69
Chemical technician,Pharmacy technician,35.0,79.3,100.00,100.00,0.00,100.00,100.00
Chemical technician,Medical appliance technician,35.0,58.9,100.00,90.00,1.47,95.00,93.60
Web developer,Receptionist,19.4,89.1,90.00,78.57,16.18,84.29,70.65
Chief executive,Compliance officer,30.6,51.8,100.00,90.00,7.50,95.00,87.88
Counter and rental clerk,File Clerk,38.7,76.0,87.50,100.00,12.20,93.75,82.32
Director,Editor,43.6,56.6,95.00,45.00,0.00,70.00,70.00
Software quality tester,Loan interviewer,44.1,76.9,82.50,96.00,9.23,89.25,81.01
Occupational health and safety specialist,Medical and health services manager,17.9,71.8,100.00,100.00,1.25,100.00,98.75
Counter and rental clerk,Postal service clerk,38.7,54.1,93.75,100.00,17.14,96.88,80.27
Food service manager,Social and human service assistant,46.7,75.3,97.50,97.50,1.25,97.50,96.28
Actor,Artist,47.0,51.6,72.50,100.00,11.25,86.25,76.55
Computer systems manager,Executive secretary,27.7,90.0,97.50,95.83,21.88,96.67,75.52
First-line supervisor of production and operating workers,Order clerk,23.5,58.3,100.00,75.00,11.86,87.50,77.12
First-line supervisor of security workers,Compliance officer,22.5,51.8,82.50,92.50,0.00,87.50,87.50
Food service manager,Medical and health services manager,46.7,71.8,95.00,100.00,0.00,97.50,97.50
Personal financial advisor,Tax preparer,32.6,66.3,42.50,100.00,24.68,71.25,53.67
Computer systems manager,Loan officer,27.7,51.6,97.50,87.18,2.53,92.34,90.00
Personal financial advisor,Fundraiser,32.6,74.9,87.50,12.50,22.50,50.00,38.75
Database administrator,Loan officer,30.8,51.6,95.00,82.05,5.06,88.53,84.04
First-line supervisor of production and operating workers,Filling machine operator,23.5,57.3,100.00,100.00,2.99,100.00,97.01
Software quality tester,Public relations specialist,44.1,76.2,97.50,75.00,16.25,86.25,72.23
Chemical technician,Medical assistant,35.0,88.8,100.00,95.24,0.00,97.62,97.62
Database administrator,Customer service representative,30.8,65.3,92.50,100.00,7.35,96.25,89.17
Electrical and electronic engineering technician,Insurance claims and policy processing clerk,11.6,80.1,100.00,84.21,7.69,92.11,85.02
Occupational health and safety specialist,Social and human service assistant,17.9,75.3,100.00,80.00,7.50,90.00,83.25
Database administrator,Advertising sales agent,30.8,52.7,97.50,53.85,4.55,75.67,72.23
Mechanical engineer,Filling machine operator,10.1,57.3,85.00,97.50,5.00,91.25,86.69
Cutting worker,Filling machine operator,31.1,57.3,97.50,100.00,-5.00,98.75,93.81
Counter and rental clerk,Customer service representative,38.7,65.3,81.25,100.00,9.09,90.62,82.39
Counter and rental clerk,Cashier,38.7,69.8,75.00,100.00,1.92,87.50,85.82
Emergency medical technician,Veterinary technician,39.4,89.9,100.00,100.00,0.00,100.00,100.00
Computer programmer,Graphic designer,21.5,54.7,100.00,70.27,3.90,85.14,81.82
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of office and administrative support workers,44.1,65.8,72.73,100.00,0.00,86.36,86.36
Computer systems manager,Legal secretary,27.7,96.4,100.00,96.55,2.90,98.28,95.43
Computer support specialist,Receptionist,26.2,89.1,100.00,67.86,4.41,83.93,80.23
Boiler operator,Filling machine operator,7.1,57.3,100.00,100.00,1.35,100.00,98.65
Counter and rental clerk,Receptionist,38.7,89.1,87.50,89.29,15.91,88.39,74.33
Web developer,Loan interviewer,19.4,76.9,87.50,88.00,10.77,87.75,78.30
Dentist,Dental assistant,39.5,92.8,92.11,84.62,17.65,88.36,72.77
Lawyer,Real estate broker,39.5,57.0,97.50,80.00,-3.75,88.75,85.42
Logistician,Loan officer,38.7,51.6,75.00,94.87,-2.53,84.94,82.79
Lawyer,Mental health counselor,39.5,74.6,100.00,57.50,2.50,78.75,76.78
Database administrator,Insurance claims and policy processing clerk,30.8,80.1,97.50,28.95,5.13,63.22,59.98
Occupational health and safety specialist,Payroll and timekeeping clerk,17.9,88.2,97.50,95.65,-1.59,96.58,95.04
Mechanical engineer,Medical appliance technician,10.1,58.9,90.00,80.00,7.50,85.00,78.63
Surgeon,Surgical technologist,20.0,76.9,90.32,83.33,13.51,86.83,75.09
Electrical and electronics engineer,Medical scientist,11.6,51.8,96.97,100.00,0.00,98.48,98.48
Electrical and electronic engineering technician,Medical and health services manager,11.6,71.8,100.00,100.00,0.00,100.00,100.00
Surgeon,Biological scientist,20.0,55.0,93.55,100.00,1.47,96.77,95.35
Director,Artist,43.6,51.6,90.00,97.50,1.25,93.75,92.58
Occupational health and safety specialist,Customer service representative,17.9,65.3,100.00,100.00,2.94,100.00,97.06
Computer support specialist,Public safety telecommunicator,26.2,78.2,100.00,97.37,3.85,98.68,94.89
Electrical and electronic engineering technician,Payroll and timekeeping clerk,11.6,88.2,100.00,100.00,4.76,100.00,95.24
Logistician,Paralegal,38.7,83.0,87.50,100.00,1.25,93.75,92.58
Postal service mail carrier,Postal service clerk,34.7,54.1,100.00,100.00,0.00,100.00,100.00
Printing press operator,Sewing machine operator,24.7,70.7,100.00,100.00,0.00,100.00,100.00
