occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Mechanical engineer,Filling machine operator,10.1,57.3,47.50,92.50,3.75,70.00,67.38
Cutting worker,Filling machine operator,31.1,57.3,22.50,92.50,1.25,57.50,56.78
Counter and rental clerk,Customer service representative,38.7,65.3,6.25,100.00,4.55,53.12,50.71
Counter and rental clerk,Cashier,38.7,69.8,0.00,86.11,3.85,43.06,41.40
Emergency medical technician,Veterinary technician,39.4,89.9,0.00,33.33,-6.67,16.67,15.56
Computer programmer,Graphic designer,21.5,54.7,2.50,18.92,2.60,10.71,10.43
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of office and administrative support workers,44.1,65.8,4.55,92.59,2.04,48.57,47.58
Computer systems manager,Legal secretary,27.7,96.4,50.00,51.72,11.59,50.86,44.97
Computer support specialist,Receptionist,26.2,89.1,0.00,60.71,5.88,30.36,28.57
Boiler operator,Filling machine operator,7.1,57.3,55.88,90.00,-1.35,72.94,71.96
Counter and rental clerk,Receptionist,38.7,89.1,18.75,92.86,4.55,55.80,53.27
Web developer,Loan interviewer,19.4,76.9,22.50,12.00,6.15,17.25,16.19
Dentist,Dental assistant,39.5,92.8,94.74,0.00,5.88,47.37,44.58
Lawyer,Real estate broker,39.5,57.0,0.00,22.50,0.00,11.25,11.25
Logistician,Loan officer,38.7,51.6,60.00,15.38,-1.27,37.69,37.22
Lawyer,Mental health counselor,39.5,74.6,57.50,10.00,6.25,33.75,31.64
Database administrator,Insurance claims and policy processing clerk,30.8,80.1,85.00,0.00,10.26,42.50,38.14
Occupational health and safety specialist,Payroll and timekeeping clerk,17.9,88.2,35.00,69.57,0.00,52.28,52.28
Mechanical engineer,Medical appliance technician,10.1,58.9,55.00,25.00,-2.50,40.00,39.00
Surgeon,Surgical technologist,20.0,76.9,6.45,0.00,-8.11,3.23,2.96
Electrical and electronics engineer,Medical scientist,11.6,51.8,63.64,68.42,9.86,66.03,59.52
Electrical and electronic engineering technician,Medical and health services manager,11.6,71.8,85.00,40.00,2.50,62.50,60.94
Surgeon,Biological scientist,20.0,55.0,0.00,97.30,-1.47,48.65,47.93
Director,Artist,43.6,51.6,25.00,0.00,1.25,12.50,12.34
Occupational health and safety specialist,Customer service representative,17.9,65.3,0.00,78.57,5.88,39.29,36.97
Computer support specialist,Public safety telecommunicator,26.2,78.2,0.00,94.74,6.41,47.37,44.33
Electrical and electronic engineering technician,Payroll and timekeeping clerk,11.6,88.2,87.50,78.26,6.35,82.88,77.62
Logistician,Paralegal,38.7,83.0,32.50,2.50,1.25,17.50,17.28
Postal service mail carrier,Postal service clerk,34.7,54.1,91.67,26.32,2.33,58.99,57.62
Printing press operator,Sewing machine operator,24.7,70.7,77.50,32.50,13.75,55.00,47.44
