occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Software developer,Advertising sales agent,20.2,52.7,83.02,6.84,-4.21,10.00,0.00,5.52,5.00,4.72
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,3.59,-1.07,75.00,100.00,2.33,87.50,85.46
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,8.74,3.78,89.29,0.00,2.48,44.64,43.53
Cost estimator,Insurance underwriter,17.7,56.9,82.88,1.46,1.80,25.00,0.00,-0.17,12.50,12.48
Materials engineer,Medical scientist,13.5,51.8,82.86,1.18,-5.49,30.00,52.63,3.34,41.32,39.94
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,16.78,0.58,75.00,2.50,8.10,38.75,35.61
Property assessor,Accountant,34.2,57.0,82.77,1.11,0.65,0.00,0.00,0.23,0.00,0.00
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,6.88,1.09,77.50,6.25,2.90,41.88,40.66
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,11.63,2.91,66.67,0.00,4.36,33.33,31.88
Painter,Artist,10.4,51.6,82.54,1.00,-1.37,42.86,0.00,1.19,21.43,21.17
Software developer,Accountant,20.2,57.0,82.50,5.97,-0.97,2.50,0.00,3.47,1.25,1.21
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,5.10,2.18,2.50,2.63,1.46,2.57,2.53
Operation manager,Compliance officer,37.1,51.8,82.41,1.92,-0.20,0.00,2.50,1.06,1.25,1.24
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,1.34,-1.77,100.00,7.89,1.55,53.95,53.11
Materials engineer,Biological scientist,13.5,55.0,82.14,-4.19,-2.25,32.50,67.57,-0.97,50.03,49.55
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,3.32,-0.51,87.50,0.00,1.92,43.75,42.91
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,3.21,4.18,100.00,0.00,-0.48,50.00,49.76
Property assessor,Tax preparer,34.2,66.3,81.93,4.13,4.29,0.00,10.81,-0.08,5.41,5.40
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,12.44,5.39,18.75,60.87,3.53,39.81,38.41
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,13.30,1.83,17.86,0.00,5.74,8.93,8.42
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,17.25,3.34,53.57,0.00,6.95,26.79,24.92
Operation manager,Public relations specialist,37.1,76.2,81.53,1.67,-9.81,0.00,2.50,5.74,1.25,1.18
Property assessor,Real estate broker,34.2,57.0,81.51,3.26,0.20,0.00,45.00,1.53,22.50,22.16
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,20.50,-2.08,39.29,14.29,11.29,26.79,23.76
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,9.15,-1.22,57.50,0.00,5.19,28.75,27.26
Information security analyst,Insurance underwriter,19.3,56.9,81.21,3.96,0.99,0.00,0.00,1.48,0.00,0.00
Information security analyst,Accountant,19.3,57.0,81.08,2.71,1.75,0.00,0.00,0.48,0.00,0.00
Web developer,Advertising sales agent,19.4,52.7,81.04,7.22,-2.80,35.00,0.00,5.01,17.50,16.62
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,5.20,-3.18,82.50,67.50,4.19,75.00,71.86
Computer support specialist,Customer service representative,26.2,65.3,80.93,1.73,-2.82,0.00,21.43,2.28,10.71,10.47
Software developer,Customer service representative,20.2,65.3,80.93,3.70,-5.39,0.00,57.14,4.54,28.57,27.27
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,-1.06,-1.36,100.00,8.11,0.15,54.05,53.97
Surgeon,Medical scientist,20.0,51.8,80.81,5.68,-0.34,9.68,76.32,3.01,43.00,41.70
Operation manager,Insurance underwriter,37.1,56.9,80.69,2.10,-0.13,0.00,0.00,1.12,0.00,0.00
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,6.48,0.36,70.00,72.50,3.06,71.25,69.07
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,3.55,-1.20,2.50,65.22,2.37,33.86,33.06
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,5.30,-2.44,75.00,35.00,3.87,55.00,52.87
Information security analyst,Executive secretary,19.3,90.0,80.53,1.70,-3.49,0.00,50.00,2.60,25.00,24.35
Property assessor,Loan officer,34.2,51.6,80.52,1.66,1.18,0.00,7.69,0.24,3.85,3.84
Software developer,Insurance sales agent,20.2,54.9,80.48,6.29,-1.07,30.00,0.00,3.68,15.00,14.45
Lawyer,Accountant,39.5,57.0,80.39,4.85,0.78,0.00,0.00,2.04,0.00,0.00
Information security analyst,Social and community service manager,19.3,71.7,80.27,1.75,-3.39,0.00,25.00,2.57,12.50,12.18
Information security analyst,Public relations specialist,19.3,76.2,80.07,2.96,-7.39,0.00,50.00,5.17,25.00,23.71
Software developer,Public relations specialist,20.2,76.2,79.88,6.08,-15.44,25.00,2.50,10.76,13.75,12.27
Cook,Baker,39.8,65.5,79.84,2.13,2.62,72.50,100.00,-0.25,86.25,86.04
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,7.21,1.82,77.78,43.48,2.69,60.63,59.00
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,12.07,-0.14,75.00,25.00,6.10,50.00,46.95
Lawyer,Legal secretary,39.5,96.4,79.62,19.98,-9.57,5.00,41.38,14.77,23.19,19.76
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,13.55,-1.57,45.45,30.00,7.56,37.73,34.87
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,0.04,3.17,100.00,14.29,-1.57,57.14,56.25
Property assessor,Social and community service manager,34.2,71.7,79.29,5.51,-0.98,0.00,2.50,3.25,1.25,1.21
Mechanical engineer,Biological scientist,10.1,55.0,79.28,3.83,-2.58,85.00,81.08,3.21,83.04,80.38
Web developer,Customer service representative,19.4,65.3,79.26,5.69,-3.05,15.00,50.00,4.37,32.50,31.08
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,1.86,-5.55,82.50,39.29,3.70,60.89,58.64
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,1.14,0.60,10.00,85.00,0.27,47.50,47.37
Personal financial advisor,Loan officer,32.6,51.6,79.02,-3.23,6.12,0.00,35.90,-4.67,17.95,17.11
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,5.95,9.77,97.22,18.18,-1.91,57.70,56.60
Software quality tester,Customer service representative,44.1,65.3,78.93,4.82,-3.68,0.00,42.86,4.25,21.43,20.52
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,0.92,2.73,80.00,5.00,-0.90,42.50,42.12
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,1.26,-3.22,97.50,10.00,2.24,53.75,52.55
Software developer,Insurance underwriter,20.2,56.9,78.63,6.59,-1.61,37.50,0.00,4.10,18.75,17.98
Property assessor,Insurance sales agent,34.2,54.9,78.62,0.33,0.45,0.00,0.00,-0.06,0.00,0.00
Software quality tester,Graphic designer,44.1,54.7,78.60,1.89,-1.56,7.50,51.35,1.72,29.43,28.92
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,12.31,2.81,22.50,0.00,4.75,11.25,10.72
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,1.89,-0.26,100.00,0.00,1.08,50.00,49.46
Lawyer,Insurance underwriter,39.5,56.9,78.48,4.60,-0.75,65.00,0.00,2.68,32.50,31.63
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,2.86,1.65,97.50,47.83,0.60,72.66,72.22
Database administrator,Executive secretary,30.8,90.0,78.39,2.93,-5.78,97.50,29.17,4.35,63.33,60.58
Lawyer,Loan officer,39.5,51.6,78.35,7.50,3.15,47.50,7.69,2.17,27.60,27.00
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,2.72,-0.29,87.50,67.50,1.50,77.50,76.34
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,4.11,0.98,97.22,100.00,1.57,98.61,97.07
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,7.39,-0.21,94.44,2.50,3.80,48.47,46.63
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,0.62,2.56,2.50,15.62,-0.97,9.06,8.97
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,-2.79,3.78,2.50,0.00,-3.28,1.25,1.21
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,13.65,-1.39,75.00,17.86,7.52,46.43,42.94
Cost estimator,Graphic designer,17.7,54.7,78.03,2.48,-0.50,35.00,91.89,1.49,63.45,62.50
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,0.68,1.21,97.50,0.00,-0.26,48.75,48.62
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,-5.24,4.15,0.00,0.00,-4.70,0.00,0.00
Food service manager,Lodging manager,46.7,61.6,78.00,0.43,-1.44,57.50,15.00,0.93,36.25,35.91
Software quality tester,Advertising sales agent,44.1,52.7,77.98,5.55,-1.56,2.50,0.00,3.55,1.25,1.21
Software quality tester,Insurance underwriter,44.1,56.9,77.97,2.96,-0.21,32.50,0.00,1.58,16.25,15.99
Printing press operator,Filling machine operator,24.7,57.3,77.95,2.38,-1.76,97.50,70.00,2.07,83.75,82.02
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,4.20,1.65,100.00,100.00,1.28,100.00,98.72
Web developer,Public relations specialist,19.4,76.2,77.89,8.63,-9.16,52.50,7.50,8.89,30.00,27.33
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,5.06,-5.92,95.00,12.50,5.49,53.75,50.80
Photographer,Artist,48.5,51.6,77.87,2.44,-2.43,60.00,2.50,2.44,31.25,30.49
Database administrator,Compliance officer,30.8,51.8,77.85,3.60,3.60,100.00,27.50,0.00,63.75,63.75
Chief executive,Executive secretary,30.6,90.0,77.82,16.28,0.19,12.50,0.00,8.04,6.25,5.75
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,3.51,0.61,66.67,0.00,1.45,33.33,32.85
Cost estimator,Advertising sales agent,17.7,52.7,77.74,5.88,-0.03,15.00,0.00,2.96,7.50,7.28
Surgeon,Physician assistant,20.0,68.8,77.67,10.34,-0.62,6.45,7.50,5.48,6.98,6.59
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,2.52,-5.09,92.59,77.78,3.80,85.19,81.95
Web developer,Insurance sales agent,19.4,54.9,77.45,3.34,-1.13,77.50,0.00,2.24,38.75,37.88
Cost estimator,Public relations specialist,17.7,76.2,77.43,11.51,-5.76,32.50,30.00,8.63,31.25,28.55
Logistician,Compliance officer,38.7,51.8,77.42,7.57,0.39,37.50,30.00,3.59,33.75,32.54
Mechanical engineer,Medical scientist,10.1,51.8,77.42,6.82,-4.41,97.50,76.32,5.61,86.91,82.03
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,77.35,0.12,0.73,0.00,3.85,-0.30,1.92,1.92
Property assessor,Lodging manager,34.2,61.6,77.25,0.64,-2.74,0.00,5.00,1.69,2.50,2.46
Software quality tester,Insurance sales agent,44.1,54.9,77.18,4.99,2.74,22.50,0.00,1.13,11.25,11.12
Wastewater treatment system operator,Filling machine operator,7.3,57.3,77.18,1.19,0.27,62.50,100.00,0.46,81.25,80.88
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,77.16,7.04,2.03,13.64,100.00,2.51,56.82,55.39
Computer systems manager,Compliance officer,27.7,51.8,77.12,4.07,-0.04,70.00,20.00,2.05,45.00,44.08
Database administrator,File Clerk,30.8,76.0,77.11,1.07,-3.52,100.00,4.00,2.29,52.00,50.81
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,44.6,53.5,77.10,2.52,2.74,97.22,100.00,-0.11,98.61,98.51
Database administrator,Billing and posting clerk,30.8,91.4,77.03,1.67,0.49,100.00,56.52,0.59,78.26,77.80
Software quality tester,Payroll and timekeeping clerk,44.1,88.2,76.98,8.41,-1.52,30.00,21.74,4.96,25.87,24.59
Property assessor,Executive secretary,34.2,90.0,76.98,3.90,-0.62,0.00,0.00,2.26,0.00,0.00
Property assessor,First-line supervisor of office and administrative support workers,34.2,65.8,76.86,1.52,0.86,0.00,81.48,0.33,40.74,40.61
Web developer,Insurance claims and policy processing clerk,19.4,80.1,76.84,5.53,-0.55,95.00,0.00,3.04,47.50,46.06
