occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Software developer,Accountant,20.2,57.0,82.50,3.77,-0.24,10.00,0.00,2.00,5.00,4.90
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,8.83,-4.05,2.50,15.79,6.44,9.14,8.56
Operation manager,Compliance officer,37.1,51.8,82.41,3.01,6.46,0.00,32.50,-1.72,16.25,15.97
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,1.45,0.30,100.00,21.05,0.57,60.53,60.18
Materials engineer,Biological scientist,13.5,55.0,82.14,1.10,3.84,42.50,78.38,-1.37,60.44,59.61
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,2.36,0.84,87.50,0.00,0.76,43.75,43.42
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,0.85,1.13,97.50,0.00,-0.14,48.75,48.68
Property assessor,Tax preparer,34.2,66.3,81.93,8.55,3.46,0.00,21.62,2.54,10.81,10.54
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,15.40,1.14,18.75,73.91,7.13,46.33,43.03
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,0.30,6.14,7.14,0.00,-2.92,3.57,3.47
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,15.02,5.70,32.14,0.00,4.66,16.07,15.32
Operation manager,Public relations specialist,37.1,76.2,81.53,3.30,-6.69,0.00,0.00,4.99,0.00,0.00
Property assessor,Real estate broker,34.2,57.0,81.51,4.45,-3.49,0.00,62.50,3.97,31.25,30.01
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,11.43,-1.29,21.43,25.00,6.36,23.21,21.74
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,8.31,-6.03,60.00,0.00,7.17,30.00,27.85
Information security analyst,Insurance underwriter,19.3,56.9,81.21,3.27,1.62,2.50,0.00,0.82,1.25,1.24
Information security analyst,Accountant,19.3,57.0,81.08,2.53,2.95,0.00,0.00,-0.21,0.00,0.00
Web developer,Advertising sales agent,19.4,52.7,81.04,9.22,-0.34,20.00,0.00,4.78,10.00,9.52
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,7.29,-8.70,47.50,87.50,8.00,67.50,62.10
Computer support specialist,Customer service representative,26.2,65.3,80.93,4.45,-15.79,0.00,75.00,10.12,37.50,33.71
Software developer,Customer service representative,20.2,65.3,80.93,1.31,-14.36,2.50,82.14,7.83,42.32,39.01
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,-1.14,4.36,100.00,2.70,-2.75,51.35,49.94
Surgeon,Medical scientist,20.0,51.8,80.81,6.68,-3.20,9.68,84.21,4.94,46.94,44.63
Operation manager,Insurance underwriter,37.1,56.9,80.69,2.39,3.72,0.00,0.00,-0.67,0.00,0.00
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,3.99,-1.82,42.50,90.00,2.91,66.25,64.32
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,4.31,-9.63,2.50,65.22,6.97,33.86,31.50
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,6.79,-3.75,77.50,40.00,5.27,58.75,55.65
Information security analyst,Executive secretary,19.3,90.0,80.53,0.15,-5.75,2.50,58.33,2.95,30.42,29.52
Property assessor,Loan officer,34.2,51.6,80.52,4.84,4.07,0.00,7.69,0.38,3.85,3.83
Software developer,Insurance sales agent,20.2,54.9,80.48,5.42,0.24,55.00,0.00,2.59,27.50,26.79
Lawyer,Accountant,39.5,57.0,80.39,5.41,2.23,5.00,0.00,1.59,2.50,2.46
Information security analyst,Social and community service manager,19.3,71.7,80.27,0.55,-6.36,2.50,60.00,3.45,31.25,30.17
Information security analyst,Public relations specialist,19.3,76.2,80.07,3.79,-16.40,2.50,85.00,10.09,43.75,39.33
Software developer,Public relations specialist,20.2,76.2,79.88,3.38,-23.76,22.50,17.50,13.57,20.00,17.29
Cook,Baker,39.8,65.5,79.84,3.04,3.23,70.00,100.00,-0.09,85.00,84.92
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,5.80,-1.69,77.78,60.87,3.74,69.32,66.73
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,7.72,2.92,72.50,22.50,2.40,47.50,46.36
Lawyer,Legal secretary,39.5,96.4,79.62,24.10,-20.13,27.50,24.14,22.11,25.82,20.11
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,13.90,0.96,36.36,25.00,6.47,30.68,28.70
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,1.50,4.20,100.00,4.76,-1.35,52.38,51.67
Property assessor,Social and community service manager,34.2,71.7,79.29,5.65,0.20,0.00,7.50,2.73,3.75,3.65
Mechanical engineer,Biological scientist,10.1,55.0,79.28,3.52,2.97,80.00,81.08,0.27,80.54,80.32
Web developer,Customer service representative,19.4,65.3,79.26,4.27,-9.30,2.50,75.00,6.78,38.75,36.12
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,-1.48,-10.35,85.00,71.43,4.44,78.21,74.74
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,6.75,3.86,7.50,80.00,1.44,43.75,43.12
Personal financial advisor,Loan officer,32.6,51.6,79.02,4.09,2.31,0.00,2.56,0.89,1.28,1.27
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,2.85,6.47,94.44,0.00,-1.81,47.22,46.37
Software quality tester,Customer service representative,44.1,65.3,78.93,3.26,-11.82,0.00,78.57,7.54,39.29,36.32
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-6.08,4.30,65.00,0.00,-5.19,32.50,30.81
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,-1.23,-4.55,100.00,30.00,1.66,65.00,63.92
Software developer,Insurance underwriter,20.2,56.9,78.63,6.17,0.95,60.00,0.00,2.61,30.00,29.22
Property assessor,Insurance sales agent,34.2,54.9,78.62,5.15,5.02,0.00,0.00,0.07,0.00,0.00
Software quality tester,Graphic designer,44.1,54.7,78.60,2.74,-3.29,10.00,32.43,3.01,21.22,20.58
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,11.92,-1.42,25.00,0.00,6.67,12.50,11.67
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,1.86,4.82,100.00,0.00,-1.48,50.00,49.26
Lawyer,Insurance underwriter,39.5,56.9,78.48,1.35,0.95,50.00,0.00,0.20,25.00,24.95
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,0.93,-5.30,100.00,52.17,3.12,76.09,73.71
Database administrator,Executive secretary,30.8,90.0,78.39,-0.09,-8.76,100.00,20.83,4.33,60.42,57.80
Lawyer,Loan officer,39.5,51.6,78.35,5.19,-0.30,27.50,0.00,2.75,13.75,13.37
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,0.65,-2.29,85.00,50.00,1.47,67.50,66.51
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,1.39,-4.51,91.67,100.00,2.95,95.83,93.00
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,2.41,4.88,91.67,5.00,-1.23,48.33,47.74
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,0.41,-0.97,0.00,9.38,0.69,4.69,4.66
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,-1.95,8.20,7.50,0.00,-5.08,3.75,3.56
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,9.21,-0.16,61.11,32.14,4.68,46.63,44.44
Cost estimator,Graphic designer,17.7,54.7,78.03,2.84,-0.94,45.00,75.68,1.89,60.34,59.20
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,-0.62,4.82,100.00,0.00,-2.72,50.00,48.64
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,0.54,2.03,2.50,0.00,-0.75,1.25,1.24
Food service manager,Lodging manager,46.7,61.6,78.00,-1.21,1.93,72.50,17.50,-1.57,45.00,44.29
Software quality tester,Advertising sales agent,44.1,52.7,77.98,5.17,0.23,0.00,0.00,2.47,0.00,0.00
Software quality tester,Insurance underwriter,44.1,56.9,77.97,3.78,1.84,45.00,0.00,0.97,22.50,22.28
Printing press operator,Filling machine operator,24.7,57.3,77.95,1.70,1.27,97.50,62.50,0.21,80.00,79.83
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,0.57,-4.12,68.75,100.00,2.34,84.38,82.40
Web developer,Public relations specialist,19.4,76.2,77.89,10.16,-15.46,40.00,15.00,12.81,27.50,23.98
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,2.98,-13.53,97.50,45.00,8.26,71.25,65.37
Photographer,Artist,48.5,51.6,77.87,0.36,-0.36,50.00,0.00,0.36,25.00,24.91
Database administrator,Compliance officer,30.8,51.8,77.85,4.52,3.56,100.00,87.50,0.48,93.75,93.30
Chief executive,Executive secretary,30.6,90.0,77.82,10.47,3.39,30.00,8.33,3.54,19.17,18.49
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,1.52,5.40,63.89,0.00,-1.94,31.94,31.32
Cost estimator,Advertising sales agent,17.7,52.7,77.74,3.43,2.54,5.00,0.00,0.45,2.50,2.49
Surgeon,Physician assistant,20.0,68.8,77.67,13.03,-4.31,9.68,2.50,8.67,6.09,5.56
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,4.96,-1.71,96.30,100.00,3.34,98.15,94.87
Web developer,Insurance sales agent,19.4,54.9,77.45,7.34,4.17,70.00,0.00,1.58,35.00,34.45
Cost estimator,Public relations specialist,17.7,76.2,77.43,9.75,-12.62,27.50,40.00,11.19,33.75,29.97
Logistician,Compliance officer,38.7,51.8,77.42,4.52,3.16,42.50,85.00,0.68,63.75,63.32
Mechanical engineer,Medical scientist,10.1,51.8,77.42,7.10,-2.63,85.00,81.58,4.86,83.29,79.24
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,77.35,-2.29,1.33,2.50,0.00,-1.81,1.25,1.23
Property assessor,Lodging manager,34.2,61.6,77.25,3.76,3.47,0.00,7.50,0.14,3.75,3.74
Software quality tester,Insurance sales agent,44.1,54.9,77.18,4.08,3.12,47.50,0.00,0.48,23.75,23.64
Wastewater treatment system operator,Filling machine operator,7.3,57.3,77.18,-0.32,3.13,65.00,100.00,-1.73,82.50,81.08
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,77.16,9.82,-0.43,31.82,100.00,5.12,65.91,62.53
Computer systems manager,Compliance officer,27.7,51.8,77.12,7.16,2.29,65.00,75.00,2.43,70.00,68.30
Database administrator,File Clerk,30.8,76.0,77.11,-3.07,-7.38,97.50,8.00,2.16,52.75,51.61
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,44.6,53.5,77.10,1.06,0.49,97.22,100.00,0.29,98.61,98.33
Database administrator,Billing and posting clerk,30.8,91.4,77.03,0.73,-10.92,100.00,73.91,5.83,86.96,81.89
Software quality tester,Payroll and timekeeping clerk,44.1,88.2,76.98,4.85,-10.36,67.50,47.83,7.60,57.66,53.28
Property assessor,Executive secretary,34.2,90.0,76.98,10.84,2.04,0.00,0.00,4.40,0.00,0.00
Property assessor,First-line supervisor of office and administrative support workers,34.2,65.8,76.86,3.72,-2.05,0.00,92.59,2.88,46.30,44.96
