occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,0.09,-7.08,90.00,65.00,3.58,77.50,74.72
Operation manager,Social and community service manager,37.1,71.7,85.47,-5.79,1.17,100.00,5.00,-3.48,52.50,50.67
Industrial production manager,Social and community service manager,19.1,71.7,85.20,4.82,-6.06,52.50,77.50,5.44,65.00,61.46
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,6.56,-10.64,0.00,92.50,8.60,46.25,42.27
Property assessor,Insurance underwriter,34.2,56.9,85.13,2.33,-8.83,2.50,95.00,5.58,48.75,46.03
Operation manager,Human resources worker,37.1,76.5,84.98,5.02,-4.25,75.00,2.50,4.63,38.75,36.95
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,-2.47,-2.25,100.00,0.00,-0.11,50.00,49.95
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,8.09,-8.07,30.30,42.50,8.08,36.40,33.46
Postsecondary teacher,School psychologist,46.6,87.9,84.73,0.35,-2.42,97.50,0.00,1.39,48.75,48.07
Industrial production manager,Accountant,19.1,57.0,84.49,-3.13,-7.61,20.00,100.00,2.24,60.00,58.66
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.92,-4.33,97.50,0.00,3.12,48.75,47.23
Facilities manager,Social and human service assistant,23.4,75.3,84.45,-2.37,-8.83,100.00,32.50,3.23,66.25,64.11
Chemical technician,Medical scientist,35.0,51.8,84.20,-5.41,4.43,3.57,100.00,-4.92,51.79,49.24
Counter and rental clerk,Order clerk,38.7,58.3,84.14,1.14,-4.02,68.75,0.00,2.58,34.38,33.49
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,-3.04,-4.18,82.50,31.03,0.57,56.77,56.44
Chemical technician,Biological scientist,35.0,55.0,83.89,-14.02,2.87,42.86,94.59,-8.45,68.73,62.92
Cost estimator,Accountant,17.7,57.0,83.72,4.10,-4.24,17.50,97.50,4.17,57.50,55.10
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,0.39,-3.05,92.50,5.00,1.72,48.75,47.91
Food service manager,Food preparation worker,46.7,58.7,83.62,-3.76,0.39,47.50,100.00,-2.07,73.75,72.22
Operation manager,Accountant,37.1,57.0,83.57,-11.89,3.84,62.50,32.50,-7.86,47.50,43.77
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,-1.47,-10.87,42.86,47.83,4.70,45.34,43.21
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-3.42,-1.53,7.14,100.00,-0.95,53.57,53.06
Software developer,Advertising sales agent,20.2,52.7,83.02,2.25,-9.35,97.50,50.00,5.80,73.75,69.47
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-6.01,-7.55,72.22,85.19,0.77,78.70,78.10
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,-0.28,-8.90,46.43,10.53,4.31,28.48,27.25
Cost estimator,Insurance underwriter,17.7,56.9,82.88,7.05,-4.71,35.00,37.50,5.88,36.25,34.12
Materials engineer,Medical scientist,13.5,51.8,82.86,3.95,0.24,7.50,100.00,1.86,53.75,52.75
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,2.87,-8.22,32.14,32.50,5.54,32.32,30.53
Property assessor,Accountant,34.2,57.0,82.77,0.93,-4.59,2.50,100.00,2.76,51.25,49.84
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,1.78,-2.23,100.00,3.12,2.01,51.56,50.53
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,2.64,-6.61,0.00,96.88,4.63,48.44,46.20
Painter,Artist,10.4,51.6,82.54,3.11,3.63,20.00,57.50,-0.26,38.75,38.65
Software developer,Accountant,20.2,57.0,82.50,5.80,-11.32,75.00,97.50,8.56,86.25,78.87
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,6.45,-12.86,22.50,57.89,9.66,40.20,36.32
Operation manager,Compliance officer,37.1,51.8,82.41,-2.33,-6.16,87.50,50.00,1.91,68.75,67.43
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,2.52,-7.47,0.00,97.37,4.99,48.68,46.25
Materials engineer,Biological scientist,13.5,55.0,82.14,-0.20,-3.06,20.00,89.19,1.43,54.59,53.81
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,4.59,-4.04,92.50,65.38,4.31,78.94,75.54
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,21.06,-17.32,70.00,28.95,19.19,49.47,39.98
Property assessor,Tax preparer,34.2,66.3,81.93,-2.71,-2.61,15.00,75.68,-0.05,45.34,45.31
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,0.52,-6.18,81.25,0.00,3.35,40.62,39.26
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-7.01,-2.26,14.29,46.15,-2.37,30.22,29.50
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,3.24,-12.96,7.14,87.50,8.10,47.32,43.49
Operation manager,Public relations specialist,37.1,76.2,81.53,-2.52,-2.04,82.50,35.00,-0.24,58.75,58.61
Property assessor,Real estate broker,34.2,57.0,81.51,-1.04,-7.21,2.50,100.00,3.08,51.25,49.67
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,1.61,-14.99,7.14,100.00,8.30,53.57,49.13
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,16.81,-21.49,65.00,21.05,19.15,43.03,34.79
Information security analyst,Insurance underwriter,19.3,56.9,81.21,4.41,-6.71,7.50,100.00,5.56,53.75,50.76
Information security analyst,Accountant,19.3,57.0,81.08,-2.34,-4.56,5.00,100.00,1.11,52.50,51.92
Web developer,Advertising sales agent,19.4,52.7,81.04,7.33,-11.48,92.50,38.46,9.41,65.48,59.32
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,0.13,-9.24,72.50,32.50,4.68,52.50,50.04
Computer support specialist,Customer service representative,26.2,65.3,80.93,3.37,-21.31,57.50,96.43,12.34,76.96,67.47
Software developer,Customer service representative,20.2,65.3,80.93,7.24,-24.38,77.50,92.86,15.81,85.18,71.71
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,-7.64,-7.71,12.50,97.30,0.03,54.90,54.88
Surgeon,Medical scientist,20.0,51.8,80.81,3.76,5.27,83.87,92.11,-0.75,87.99,87.33
Operation manager,Insurance underwriter,37.1,56.9,80.69,-7.49,4.60,77.50,5.00,-6.04,41.25,38.76
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,0.14,-3.20,87.50,12.50,1.67,50.00,49.17
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,2.62,-15.45,45.00,95.65,9.04,70.33,63.97
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,2.80,-13.39,32.50,95.00,8.09,63.75,58.59
Information security analyst,Executive secretary,19.3,90.0,80.53,12.09,-21.97,15.00,100.00,17.03,57.50,47.71
Property assessor,Loan officer,34.2,51.6,80.52,5.52,-6.07,2.50,100.00,5.79,51.25,48.28
Software developer,Insurance sales agent,20.2,54.9,80.48,6.08,-16.67,95.00,90.91,11.38,92.95,82.38
Lawyer,Accountant,39.5,57.0,80.39,4.11,-8.62,90.00,82.50,6.37,86.25,80.76
Information security analyst,Social and community service manager,19.3,71.7,80.27,1.60,-8.58,72.50,92.50,5.09,82.50,78.30
Information security analyst,Public relations specialist,19.3,76.2,80.07,-0.67,-7.02,12.50,100.00,3.17,56.25,54.46
Software developer,Public relations specialist,20.2,76.2,79.88,4.72,-18.91,85.00,80.00,11.82,82.50,72.75
Cook,Baker,39.8,65.5,79.84,-2.84,8.05,100.00,47.50,-5.45,73.75,69.73
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,-4.15,-7.39,72.22,47.83,1.62,60.02,59.05
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,2.65,-8.98,100.00,12.50,5.81,56.25,52.98
Lawyer,Legal secretary,39.5,96.4,79.62,24.23,-24.75,85.00,10.34,24.49,47.67,36.00
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,-1.61,-7.05,45.45,82.50,2.72,63.98,62.24
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,-4.85,-12.89,100.00,90.48,4.02,95.24,91.41
Property assessor,Social and community service manager,34.2,71.7,79.29,6.23,-10.31,37.50,75.00,8.27,56.25,51.60
Mechanical engineer,Biological scientist,10.1,55.0,79.28,4.45,-5.56,67.50,89.19,5.01,78.34,74.42
Web developer,Customer service representative,19.4,65.3,79.26,12.76,-23.96,70.00,92.86,18.36,81.43,66.48
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,10.31,-23.15,82.50,96.43,16.73,89.46,74.50
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,4.84,-17.18,100.00,40.00,11.01,70.00,62.29
