occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Lawyer,Paralegal,39.5,83.0,85.66,10.73,-13.30,40.00,45.00,12.02,42.50,37.39
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,7.40,-3.54,60.00,95.00,5.47,77.50,73.26
Operation manager,Social and community service manager,37.1,71.7,85.47,7.36,-7.88,57.50,55.00,7.62,56.25,51.96
Industrial production manager,Social and community service manager,19.1,71.7,85.20,12.13,-14.77,42.50,60.00,13.45,51.25,44.36
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,2.16,-3.70,10.71,100.00,2.93,55.36,53.74
Property assessor,Insurance underwriter,34.2,56.9,85.13,-1.07,-3.86,17.50,57.50,1.40,37.50,36.98
Operation manager,Human resources worker,37.1,76.5,84.98,7.14,-4.59,7.50,100.00,5.86,53.75,50.60
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,3.30,-0.04,77.50,12.50,1.67,45.00,44.25
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,5.44,-4.70,18.18,62.50,5.07,40.34,38.29
Postsecondary teacher,School psychologist,46.6,87.9,84.73,0.05,-3.11,97.50,0.00,1.58,48.75,47.98
Industrial production manager,Accountant,19.1,57.0,84.49,7.60,-3.77,12.50,100.00,5.69,56.25,53.05
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.78,-2.75,75.00,40.00,2.27,57.50,56.20
Facilities manager,Social and human service assistant,23.4,75.3,84.45,11.93,-15.21,52.50,82.50,13.57,67.50,58.34
Chemical technician,Medical scientist,35.0,51.8,84.20,-3.84,-0.33,0.00,92.11,-1.75,46.05,45.25
Counter and rental clerk,Order clerk,38.7,58.3,84.14,1.11,1.28,0.00,96.88,-0.09,48.44,48.40
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,2.99,-4.14,87.50,58.62,3.56,73.06,70.46
Chemical technician,Biological scientist,35.0,55.0,83.89,0.29,-1.86,10.71,70.27,1.08,40.49,40.06
Cost estimator,Accountant,17.7,57.0,83.72,3.34,-2.10,27.50,97.50,2.72,62.50,60.80
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,3.31,-7.45,42.50,30.00,5.38,36.25,34.30
Food service manager,Food preparation worker,46.7,58.7,83.62,6.33,-4.58,7.50,87.50,5.45,47.50,44.91
Operation manager,Accountant,37.1,57.0,83.57,4.92,-1.42,7.50,100.00,3.17,53.75,52.05
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,3.00,-5.78,46.43,56.52,4.39,51.48,49.22
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-0.10,0.37,25.00,81.82,-0.24,53.41,53.28
Software developer,Advertising sales agent,20.2,52.7,83.02,4.51,-9.08,97.50,42.31,6.80,69.90,65.15
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-0.97,-2.69,63.89,92.59,0.86,78.24,77.57
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,4.10,-4.78,10.71,60.53,4.44,35.62,34.04
Cost estimator,Insurance underwriter,17.7,56.9,82.88,2.45,-0.81,60.00,62.50,1.63,61.25,60.25
Materials engineer,Medical scientist,13.5,51.8,82.86,2.42,-2.31,32.50,94.74,2.36,63.62,62.12
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,7.09,-9.78,17.86,45.00,8.43,31.43,28.78
Property assessor,Accountant,34.2,57.0,82.77,0.54,-2.78,15.00,95.00,1.66,55.00,54.09
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,2.98,-2.95,95.00,12.50,2.96,53.75,52.16
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,0.67,-2.50,0.00,100.00,1.59,50.00,49.21
Painter,Artist,10.4,51.6,82.54,2.33,2.54,54.29,97.50,-0.11,75.89,75.81
Software developer,Accountant,20.2,57.0,82.50,6.36,-4.28,97.50,92.50,5.32,95.00,89.94
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,5.92,-9.22,70.00,7.89,7.57,38.95,36.00
Operation manager,Compliance officer,37.1,51.8,82.41,3.64,-1.76,32.50,97.50,2.70,65.00,63.24
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,2.88,-5.80,0.00,71.05,4.34,35.53,33.98
Materials engineer,Biological scientist,13.5,55.0,82.14,4.95,-3.61,50.00,86.49,4.28,68.24,65.32
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,0.80,-3.48,97.50,19.23,2.14,58.37,57.11
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,2.37,-3.51,95.00,10.53,2.94,52.76,51.21
Property assessor,Tax preparer,34.2,66.3,81.93,2.25,-3.34,15.00,94.59,2.80,54.80,53.27
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,2.40,0.29,56.25,65.22,1.06,60.73,60.09
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,3.66,0.97,7.14,92.31,1.35,49.73,49.05
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,2.05,-2.86,7.14,100.00,2.45,53.57,52.26
Operation manager,Public relations specialist,37.1,76.2,81.53,7.79,-6.78,42.50,100.00,7.29,71.25,66.06
Property assessor,Real estate broker,34.2,57.0,81.51,-0.80,-3.82,27.50,90.00,1.51,58.75,57.86
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,2.23,-2.59,0.00,100.00,2.41,50.00,48.80
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,6.27,-10.50,85.00,18.42,8.39,51.71,47.37
Information security analyst,Insurance underwriter,19.3,56.9,81.21,3.31,-4.51,90.00,62.50,3.91,76.25,73.27
Information security analyst,Accountant,19.3,57.0,81.08,6.66,-5.52,87.50,95.00,6.09,91.25,85.69
Web developer,Advertising sales agent,19.4,52.7,81.04,1.52,-2.89,97.50,61.54,2.21,79.52,77.77
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,2.57,-5.19,100.00,42.50,3.88,71.25,68.49
Computer support specialist,Customer service representative,26.2,65.3,80.93,6.04,-4.28,90.00,60.71,5.16,75.36,71.47
Software developer,Customer service representative,20.2,65.3,80.93,7.24,-5.37,90.00,78.57,6.30,84.29,78.97
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,6.28,-6.73,9.38,37.84,6.51,23.61,22.07
Surgeon,Medical scientist,20.0,51.8,80.81,8.15,-0.61,48.39,97.37,4.38,72.88,69.68
Operation manager,Insurance underwriter,37.1,56.9,80.69,0.62,-1.74,10.00,100.00,1.18,55.00,54.35
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,1.47,-4.90,97.50,0.00,3.19,48.75,47.20
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,4.97,-9.78,92.50,30.43,7.38,61.47,56.93
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,2.95,-2.47,100.00,15.00,2.71,57.50,55.94
Information security analyst,Executive secretary,19.3,90.0,80.53,19.86,-9.13,75.00,95.83,14.49,85.42,73.04
Property assessor,Loan officer,34.2,51.6,80.52,-3.22,-0.39,45.00,56.41,-1.41,50.71,49.99
Software developer,Insurance sales agent,20.2,54.9,80.48,3.37,-6.84,97.50,59.09,5.11,78.30,74.30
Lawyer,Accountant,39.5,57.0,80.39,3.12,-2.88,100.00,85.00,3.00,92.50,89.73
Information security analyst,Social and community service manager,19.3,71.7,80.27,5.56,-9.94,100.00,12.50,7.75,56.25,51.89
Information security analyst,Public relations specialist,19.3,76.2,80.07,8.85,-12.76,92.50,70.00,10.81,81.25,72.47
Software developer,Public relations specialist,20.2,76.2,79.88,7.18,-12.96,95.00,65.00,10.07,80.00,71.94
Cook,Baker,39.8,65.5,79.84,1.44,2.61,97.50,92.50,-0.58,95.00,94.45
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,1.71,-5.04,63.89,73.91,3.38,68.90,66.57
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,4.71,-8.07,97.50,7.50,6.39,52.50,49.14
Lawyer,Legal secretary,39.5,96.4,79.62,17.84,-23.77,40.00,48.28,20.81,44.14,34.95
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,1.98,-3.71,31.82,92.50,2.85,62.16,60.39
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,8.14,-3.48,96.43,61.90,5.81,79.17,74.57
Property assessor,Social and community service manager,34.2,71.7,79.29,3.96,-8.33,95.00,20.00,6.15,57.50,53.97
Mechanical engineer,Biological scientist,10.1,55.0,79.28,7.12,-4.26,95.00,86.49,5.69,90.74,85.58
Web developer,Customer service representative,19.4,65.3,79.26,3.25,-2.32,85.00,82.14,2.79,83.57,81.24
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,1.86,-2.55,97.50,60.71,2.21,79.11,77.36
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,5.07,-4.19,95.00,30.00,4.63,62.50,59.61
Personal financial advisor,Loan officer,32.6,51.6,79.02,-4.69,3.40,100.00,23.08,-4.05,61.54,59.05
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,0.21,-0.76,100.00,0.00,0.49,50.00,49.76
Software quality tester,Customer service representative,44.1,65.3,78.93,3.30,-1.91,65.00,85.71,2.60,75.36,73.40
