occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,8.27,-5.82,57.14,100.00,7.04,78.57,73.04
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,0.79,-2.59,71.43,100.00,1.69,85.71,84.26
Software developer,Advertising sales agent,20.2,52.7,83.02,6.34,-7.14,97.50,30.77,6.74,64.13,59.81
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,0.56,2.83,83.33,100.00,-1.14,91.67,90.63
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,6.52,-10.18,89.29,100.00,8.35,94.64,86.74
Cost estimator,Insurance underwriter,17.7,56.9,82.88,1.69,-4.53,97.50,100.00,3.11,98.75,95.68
Materials engineer,Medical scientist,13.5,51.8,82.86,-1.74,-0.83,57.50,100.00,-0.45,78.75,78.39
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,8.97,-11.02,78.57,97.50,10.00,88.04,79.24
Property assessor,Accountant,34.2,57.0,82.77,-7.11,3.28,2.50,100.00,-5.19,51.25,48.59
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,2.32,-2.82,100.00,34.38,2.57,67.19,65.46
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,1.43,-2.00,52.78,100.00,1.71,76.39,75.08
Painter,Artist,10.4,51.6,82.54,-3.45,2.91,60.00,100.00,-3.18,80.00,77.46
Software developer,Accountant,20.2,57.0,82.50,3.50,2.65,92.50,100.00,0.42,96.25,95.84
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,11.63,-11.61,47.50,100.00,11.62,73.75,65.18
Operation manager,Compliance officer,37.1,51.8,82.41,2.94,-5.69,100.00,42.50,4.32,71.25,68.17
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,3.25,-2.71,84.38,100.00,2.98,92.19,89.44
Materials engineer,Biological scientist,13.5,55.0,82.14,-0.85,-0.21,67.50,100.00,-0.32,83.75,83.48
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,8.04,-5.09,100.00,57.69,6.57,78.85,73.67
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,13.65,-13.31,97.50,94.74,13.48,96.12,83.16
Property assessor,Tax preparer,34.2,66.3,81.93,-2.80,1.54,22.50,100.00,-2.17,61.25,59.92
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,-4.23,1.60,100.00,91.30,-2.92,95.65,92.86
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,1.77,-1.65,85.71,100.00,1.71,92.86,91.27
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,7.46,-4.53,17.86,100.00,5.99,58.93,55.40
Operation manager,Public relations specialist,37.1,76.2,81.53,1.85,-3.81,100.00,82.50,2.83,91.25,88.67
Property assessor,Real estate broker,34.2,57.0,81.51,-1.52,2.10,22.50,100.00,-1.81,61.25,60.14
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,9.48,-5.13,17.86,100.00,7.31,58.93,54.62
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,13.79,-10.27,97.50,78.95,12.03,88.22,77.61
Information security analyst,Insurance underwriter,19.3,56.9,81.21,5.39,-4.49,40.00,100.00,4.94,70.00,66.54
Information security analyst,Accountant,19.3,57.0,81.08,-1.02,-0.47,27.50,100.00,-0.28,63.75,63.57
Web developer,Advertising sales agent,19.4,52.7,81.04,7.59,-7.63,97.50,23.08,7.61,60.29,55.70
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,0.72,-3.37,100.00,80.00,2.04,90.00,88.16
Computer support specialist,Customer service representative,26.2,65.3,80.93,10.28,-3.32,95.00,71.43,6.80,83.21,77.55
Software developer,Customer service representative,20.2,65.3,80.93,12.95,-1.52,90.00,75.00,7.24,82.50,76.53
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,-0.12,0.77,68.75,97.30,-0.44,83.02,82.66
Surgeon,Medical scientist,20.0,51.8,80.81,-0.08,-0.05,90.32,100.00,-0.02,95.16,95.15
Operation manager,Insurance underwriter,37.1,56.9,80.69,-2.32,-1.65,100.00,85.00,-0.34,92.50,92.19
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,1.91,-6.45,100.00,32.50,4.18,66.25,63.48
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,12.41,-7.72,87.50,91.30,10.07,89.40,80.40
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,5.05,-4.13,97.50,97.50,4.59,97.50,93.03
Information security analyst,Executive secretary,19.3,90.0,80.53,21.93,-18.79,62.50,100.00,20.36,81.25,64.71
Property assessor,Loan officer,34.2,51.6,80.52,-2.49,-1.89,5.00,100.00,-0.30,52.50,52.34
Software developer,Insurance sales agent,20.2,54.9,80.48,7.22,-1.26,97.50,77.27,4.24,87.39,83.68
Lawyer,Accountant,39.5,57.0,80.39,2.33,-0.99,97.50,100.00,1.66,98.75,97.11
Information security analyst,Social and community service manager,19.3,71.7,80.27,6.62,-8.06,87.50,80.00,7.34,83.75,77.60
Information security analyst,Public relations specialist,19.3,76.2,80.07,2.19,-4.60,55.00,100.00,3.39,77.50,74.87
Software developer,Public relations specialist,20.2,76.2,79.88,6.77,-3.33,92.50,82.50,5.05,87.50,83.08
Cook,Baker,39.8,65.5,79.84,-0.53,4.48,100.00,67.50,-2.51,83.75,81.65
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,0.92,-2.48,88.89,100.00,1.70,94.44,92.84
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,4.92,-6.58,100.00,45.00,5.75,72.50,68.33
Lawyer,Legal secretary,39.5,96.4,79.62,14.85,-39.46,100.00,44.83,27.15,72.41,52.75
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,2.56,-1.80,77.27,100.00,2.18,88.64,86.70
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,8.82,-1.03,85.71,57.14,4.93,71.43,67.91
Property assessor,Social and community service manager,34.2,71.7,79.29,7.52,-3.70,60.00,100.00,5.61,80.00,75.51
Mechanical engineer,Biological scientist,10.1,55.0,79.28,3.61,-1.01,97.50,97.30,2.31,97.40,95.15
Web developer,Customer service representative,19.4,65.3,79.26,17.05,-6.41,92.50,82.14,11.73,87.32,77.08
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,15.72,-9.90,100.00,75.00,12.81,87.50,76.29
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,4.43,-12.54,97.50,52.50,8.48,75.00,68.64
Personal financial advisor,Loan officer,32.6,51.6,79.02,0.77,-15.18,87.50,97.44,7.98,92.47,85.09
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,2.07,-0.74,100.00,90.91,1.40,95.45,94.11
Software quality tester,Customer service representative,44.1,65.3,78.93,7.48,-1.79,32.50,96.43,4.63,64.46,61.48
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,1.24,-2.83,100.00,97.50,2.03,98.75,96.74
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,10.84,-5.44,100.00,95.00,8.14,97.50,89.56
Software developer,Insurance underwriter,20.2,56.9,78.63,4.80,0.76,95.00,100.00,2.02,97.50,95.53
Property assessor,Insurance sales agent,34.2,54.9,78.62,-0.09,1.34,25.00,90.91,-0.71,57.95,57.54
Software quality tester,Graphic designer,44.1,54.7,78.60,-18.38,5.06,57.50,97.30,-11.72,77.40,68.33
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,8.46,-5.17,57.50,100.00,6.82,78.75,73.38
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,2.89,0.57,100.00,100.00,1.16,100.00,98.84
Lawyer,Insurance underwriter,39.5,56.9,78.48,2.77,-5.89,97.50,97.50,4.33,97.50,93.28
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,11.47,-11.80,100.00,86.96,11.64,93.48,82.60
Database administrator,Executive secretary,30.8,90.0,78.39,22.95,-19.14,85.00,95.83,21.05,90.42,71.39
Lawyer,Loan officer,39.5,51.6,78.35,9.37,-9.06,95.00,100.00,9.22,97.50,88.51
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,-0.01,-2.71,100.00,65.00,1.35,82.50,81.39
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,3.90,-2.48,69.44,100.00,3.19,84.72,82.02
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,0.53,-6.66,97.22,92.50,3.60,94.86,91.45
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,8.93,-0.50,35.00,100.00,4.71,67.50,64.32
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,6.36,2.24,72.50,95.45,2.06,83.98,82.25
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,2.37,-3.36,44.44,100.00,2.86,72.22,70.15
