occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Software developer,Advertising sales agent,20.2,52.7,83.02,12.92,-11.83,80.00,38.46,12.37,59.23,51.90
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-1.63,-2.46,69.44,88.89,0.41,79.17,78.84
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,6.42,-15.49,28.57,23.68,10.95,26.13,23.27
Cost estimator,Insurance underwriter,17.7,56.9,82.88,4.69,-2.51,35.00,12.50,3.60,23.75,22.89
Materials engineer,Medical scientist,13.5,51.8,82.86,12.34,-7.08,10.00,100.00,9.71,55.00,49.66
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,10.73,-17.93,32.14,20.00,14.33,26.07,22.34
Property assessor,Accountant,34.2,57.0,82.77,-1.50,-0.04,5.00,100.00,-0.73,52.50,52.12
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,4.10,-10.03,100.00,3.12,7.06,51.56,47.92
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,2.89,-2.26,0.00,100.00,2.58,50.00,48.71
Painter,Artist,10.4,51.6,82.54,2.36,-0.82,8.57,52.50,1.59,30.54,30.05
Software developer,Accountant,20.2,57.0,82.50,18.30,-10.61,47.50,97.50,14.46,72.50,62.02
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,11.30,-17.35,5.00,81.58,14.33,43.29,37.09
Operation manager,Compliance officer,37.1,51.8,82.41,0.63,-8.65,87.50,37.50,4.64,62.50,59.60
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,10.99,-16.92,0.00,78.95,13.96,39.47,33.96
Materials engineer,Biological scientist,13.5,55.0,82.14,10.45,-8.68,25.00,89.19,9.57,57.09,51.63
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,0.27,1.81,90.00,61.54,-0.77,75.77,75.18
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,11.07,-13.03,72.50,34.21,12.05,53.36,46.92
Property assessor,Tax preparer,34.2,66.3,81.93,0.16,-1.35,12.50,40.54,0.76,26.52,26.32
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,-1.45,-1.84,87.50,0.00,0.19,43.75,43.66
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-1.45,-2.15,10.71,15.38,0.35,13.05,13.00
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,5.96,-12.58,3.57,93.75,9.27,48.66,44.15
Operation manager,Public relations specialist,37.1,76.2,81.53,7.97,-10.03,87.50,40.00,9.00,63.75,58.01
Property assessor,Real estate broker,34.2,57.0,81.51,-1.12,-5.34,7.50,95.00,2.11,51.25,50.17
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,9.11,-21.25,0.00,100.00,15.18,50.00,42.41
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,25.80,-26.92,42.50,36.84,26.36,39.67,29.21
Information security analyst,Insurance underwriter,19.3,56.9,81.21,6.35,-6.92,2.50,100.00,6.63,51.25,47.85
Information security analyst,Accountant,19.3,57.0,81.08,2.69,-3.69,2.50,100.00,3.19,51.25,49.61
Web developer,Advertising sales agent,19.4,52.7,81.04,9.00,-6.19,82.50,26.92,7.60,54.71,50.56
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,4.35,-11.59,72.50,40.00,7.97,56.25,51.77
Computer support specialist,Customer service representative,26.2,65.3,80.93,16.24,-33.22,42.50,96.43,24.73,69.46,52.29
Software developer,Customer service representative,20.2,65.3,80.93,24.09,-23.47,57.50,92.86,23.78,75.18,57.30
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,7.38,-13.22,21.88,56.76,10.30,39.32,35.27
Surgeon,Medical scientist,20.0,51.8,80.81,8.23,-8.12,80.65,92.11,8.18,86.38,79.31
Operation manager,Insurance underwriter,37.1,56.9,80.69,-2.55,4.71,85.00,5.00,-3.63,45.00,43.36
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,3.41,-12.47,82.50,17.50,7.94,50.00,46.03
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,8.94,-20.89,17.50,95.65,14.91,56.58,48.14
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,5.93,-8.21,20.00,90.00,7.07,55.00,51.11
Information security analyst,Executive secretary,19.3,90.0,80.53,13.77,-24.12,7.50,100.00,18.94,53.75,43.57
Property assessor,Loan officer,34.2,51.6,80.52,-1.95,0.89,2.50,94.87,-1.42,48.69,47.99
Software developer,Insurance sales agent,20.2,54.9,80.48,12.36,-17.85,82.50,90.91,15.10,86.70,73.61
Lawyer,Accountant,39.5,57.0,80.39,5.91,-8.03,82.50,80.00,6.97,81.25,75.59
Information security analyst,Social and community service manager,19.3,71.7,80.27,8.82,-18.91,27.50,80.00,13.87,53.75,46.30
Information security analyst,Public relations specialist,19.3,76.2,80.07,10.29,-14.23,5.00,100.00,12.26,52.50,46.07
Software developer,Public relations specialist,20.2,76.2,79.88,22.05,-27.66,65.00,75.00,24.86,70.00,52.60
Cook,Baker,39.8,65.5,79.84,-4.30,-0.95,100.00,55.00,-1.68,77.50,76.20
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,-0.70,-8.47,66.67,47.83,3.88,57.25,55.02
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,3.87,-13.75,100.00,12.50,8.81,56.25,51.30
Lawyer,Legal secretary,39.5,96.4,79.62,21.50,-34.60,62.50,41.38,28.05,51.94,37.37
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,-1.53,-9.82,40.91,82.50,4.15,61.70,59.14
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,14.96,-20.35,89.29,85.71,17.66,87.50,72.05
Property assessor,Social and community service manager,34.2,71.7,79.29,10.51,-17.01,25.00,55.00,13.76,40.00,34.49
Mechanical engineer,Biological scientist,10.1,55.0,79.28,13.57,-8.00,65.00,91.89,10.79,78.45,69.98
Web developer,Customer service representative,19.4,65.3,79.26,18.93,-22.99,60.00,92.86,20.96,76.43,60.41
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,9.26,-23.28,82.50,96.43,16.27,89.46,74.91
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,19.14,-24.46,75.00,60.00,21.80,67.50,52.79
Personal financial advisor,Loan officer,32.6,51.6,79.02,4.86,3.44,5.00,5.13,0.71,5.06,5.03
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,2.20,-10.95,83.33,45.45,6.58,64.39,60.16
Software quality tester,Customer service representative,44.1,65.3,78.93,10.16,-16.73,10.00,100.00,13.45,55.00,47.60
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-2.25,2.19,87.50,2.50,-2.22,45.00,44.00
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,8.60,-17.63,75.00,77.50,13.11,76.25,66.25
Software developer,Insurance underwriter,20.2,56.9,78.63,20.65,-12.80,52.50,100.00,16.73,76.25,63.50
Property assessor,Insurance sales agent,34.2,54.9,78.62,-2.63,-4.05,15.00,90.91,0.71,52.95,52.58
Software quality tester,Graphic designer,44.1,54.7,78.60,-2.58,-4.67,2.50,100.00,1.04,51.25,50.71
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,13.59,-16.99,2.50,86.84,15.29,44.67,37.84
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,16.38,-21.16,100.00,100.00,18.77,100.00,81.23
Lawyer,Insurance underwriter,39.5,56.9,78.48,7.70,-9.82,80.00,7.50,8.76,43.75,39.92
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,5.28,-18.78,90.00,65.22,12.03,77.61,68.27
