occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,1.86,0.19,75.00,54.05,0.84,64.53,63.99
Information security analyst,Training and development specialist,19.3,56.7,85.97,1.11,-5.87,87.50,80.00,3.49,83.75,80.83
Software developer,Graphic designer,20.2,54.7,85.82,6.78,-4.53,85.00,86.49,5.66,85.74,80.89
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,7.11,-7.05,97.50,32.50,7.08,65.00,60.40
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,2.25,-2.34,87.50,95.00,2.29,91.25,89.16
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.44,4.68,100.00,45.45,-2.56,72.73,70.87
Lawyer,Paralegal,39.5,83.0,85.66,11.51,-8.86,82.50,12.50,10.19,47.50,42.66
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,12.44,-4.60,75.00,95.00,8.52,85.00,77.76
Operation manager,Social and community service manager,37.1,71.7,85.47,5.98,1.37,82.50,17.50,2.31,50.00,48.85
Industrial production manager,Social and community service manager,19.1,71.7,85.20,11.37,-7.37,47.50,75.00,9.37,61.25,55.51
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,2.04,-3.16,10.71,100.00,2.60,55.36,53.92
Property assessor,Insurance underwriter,34.2,56.9,85.13,6.37,1.08,25.00,67.50,2.64,46.25,45.03
Operation manager,Human resources worker,37.1,76.5,84.98,9.22,-5.99,15.00,100.00,7.61,57.50,53.13
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,1.81,0.05,62.50,22.50,0.88,42.50,42.13
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,8.19,-6.79,21.21,77.50,7.49,49.36,45.66
Postsecondary teacher,School psychologist,46.6,87.9,84.73,2.79,2.15,100.00,0.00,0.32,50.00,49.84
Industrial production manager,Accountant,19.1,57.0,84.49,7.64,-1.31,22.50,100.00,4.47,61.25,58.51
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.40,-2.48,100.00,32.50,1.94,66.25,64.96
Facilities manager,Social and human service assistant,23.4,75.3,84.45,17.22,-4.41,70.00,80.00,10.81,75.00,66.89
Chemical technician,Medical scientist,35.0,51.8,84.20,-0.96,3.34,10.71,100.00,-2.15,55.36,54.17
Counter and rental clerk,Order clerk,38.7,58.3,84.14,5.04,-1.17,0.00,93.75,3.10,46.88,45.42
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,8.87,-5.22,100.00,48.28,7.04,74.14,68.92
Chemical technician,Biological scientist,35.0,55.0,83.89,1.23,4.85,32.14,78.38,-1.81,55.26,54.26
Cost estimator,Accountant,17.7,57.0,83.72,6.16,-0.94,17.50,100.00,3.55,58.75,56.66
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,13.50,0.60,80.00,32.50,6.45,56.25,52.62
Food service manager,Food preparation worker,46.7,58.7,83.62,5.32,-3.27,52.50,95.00,4.29,73.75,70.58
Operation manager,Accountant,37.1,57.0,83.57,2.44,0.90,30.00,97.50,0.77,63.75,63.26
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,0.55,1.28,53.57,60.87,-0.36,57.22,57.01
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-3.25,7.00,14.29,95.45,-5.12,54.87,52.06
Software developer,Advertising sales agent,20.2,52.7,83.02,13.33,-9.71,92.50,73.08,11.52,82.79,73.25
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,2.61,-1.64,72.22,81.48,2.13,76.85,75.22
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,1.86,-0.81,25.00,78.95,1.33,51.97,51.28
Cost estimator,Insurance underwriter,17.7,56.9,82.88,5.09,-0.80,40.00,95.00,2.94,67.50,65.51
Materials engineer,Medical scientist,13.5,51.8,82.86,3.57,0.16,15.00,100.00,1.71,57.50,56.52
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,1.89,7.07,53.57,50.00,-2.59,51.79,50.44
Property assessor,Accountant,34.2,57.0,82.77,11.14,-2.81,17.50,95.00,6.98,56.25,52.33
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,2.79,7.10,100.00,21.88,-2.15,60.94,59.63
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,-0.67,-0.58,5.56,100.00,-0.05,52.78,52.75
Painter,Artist,10.4,51.6,82.54,5.56,1.31,77.14,92.50,2.13,84.82,83.02
Software developer,Accountant,20.2,57.0,82.50,11.43,-3.70,92.50,100.00,7.56,96.25,88.97
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,10.18,-8.86,55.00,34.21,9.52,44.61,40.36
Operation manager,Compliance officer,37.1,51.8,82.41,3.85,0.01,17.50,92.50,1.92,55.00,53.95
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,1.10,-1.76,0.00,100.00,1.43,50.00,49.29
Materials engineer,Biological scientist,13.5,55.0,82.14,5.18,-0.46,47.50,100.00,2.82,73.75,71.67
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,3.96,-2.97,97.50,53.85,3.46,75.67,73.05
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,6.18,-8.31,95.00,42.11,7.25,68.55,63.58
Property assessor,Tax preparer,34.2,66.3,81.93,11.47,-5.00,25.00,91.89,8.23,58.45,53.63
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,6.63,-1.55,87.50,73.91,4.09,80.71,77.41
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-1.52,2.82,0.00,96.15,-2.17,48.08,47.03
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,-0.94,-2.15,21.43,93.75,0.60,57.59,57.24
Operation manager,Public relations specialist,37.1,76.2,81.53,9.51,-3.54,65.00,100.00,6.52,82.50,77.12
Property assessor,Real estate broker,34.2,57.0,81.51,3.30,1.15,10.00,100.00,1.08,55.00,54.41
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,2.27,-1.69,3.57,100.00,1.98,51.79,50.76
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,17.55,-14.74,82.50,47.37,16.14,64.93,54.45
Information security analyst,Insurance underwriter,19.3,56.9,81.21,3.62,-0.79,72.50,95.00,2.20,83.75,81.90
Information security analyst,Accountant,19.3,57.0,81.08,2.70,0.46,75.00,100.00,1.12,87.50,86.52
Web developer,Advertising sales agent,19.4,52.7,81.04,9.37,-5.20,85.00,96.15,7.28,90.58,83.98
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,9.16,-8.95,80.00,90.00,9.05,85.00,77.30
Computer support specialist,Customer service representative,26.2,65.3,80.93,19.29,-11.54,62.50,96.43,15.41,79.46,67.22
